Grapheme	IPA	Examples	Languages	Frequence	Codepoints
eo̯$	eo̯	yépanameo̯	Desano	1	U+0065 U+006f U+032f U+0024
éw	éw	uaxpéweyo	Desano	1	U+00e9 U+0077
eyo$	eyo	uaxpéweyo	Desano	1	U+0065 U+0079 U+006f U+0024
^aá$	áː	aá	Yahuna	1	U+005e U+0061 U+00e1 U+0024
e̥á	e̥á	be̥ámo	Desano	1	U+0065 U+0325 U+00e1
uú$	úː	guú	Yupua	1	U+0075 U+00fa U+0024
oi$	oi	soi	Yupua	1	U+006f U+0069 U+0024
ú̠$	ú̠	mū̠nú̠	Desano	1	U+00fa U+0320 U+0024
u̠ui̯	u̠ui̯	mū̠nu̠ui̯hīnimúka	Desano	1	U+0075 U+0320 U+0075 U+0069 U+032f
ou	ou	mī́nouīnukia	Yahuna	1	U+006f U+0075
úaye̥$	úaye̥	me̥lapuhúaye̥	Yupua	1	U+00fa U+0061 U+0079 U+0065 U+0325 U+0024
'yoa$	'yoa	yé̠'yoa	Yahuna	1	U+0027 U+0079 U+006f U+0061 U+0024
yoa$	yoa	yé̠yoa	Yahuna	1	U+0079 U+006f U+0061 U+0024
yau̯i$	yau̯i	kṓyau̯i	Yupua	1	U+0079 U+0061 U+0075 U+032f U+0069 U+0024
